Date,BIRate_inPercentage,USPrimeRate_inPercentage,ExchangeRate_USDtoIDR,ForeignExchangeReserves_inMillionUSD,ForeignExchangeReserves_MonetaryGold_inMillionUSD,ForeignExchangeReserves_SDRs_inMillionUSD,ForeignExchangeReserves_RPF_inMillionUSD,ForeignExchangeReserves_Others_inMillionUSD,SuratUtangNegaraSUN_inMillionIDR,SuratBerhargaSyariahNegaraSBSN_inMillionIDR,OutstandingShares_inMillion,SharesTransactionValue_inMillionIDR,OperasiMoneter_Konvensional_OPT_inMillionIDR,OperasiMoneter_Konvensional_StandingFacility_inMillionIDR,OperasiMoneter_Syariah_OPT_inMillionIDR,OperasiMoneter_Syariah_StandingFacility_inMillionIDR,PosisiPerusahaanPembiayaaan_Pembiayaan_inBillionIDR,PosisiPerusahaanPembiayaaan_Kewajiban_inBillionIDR,PosisiPerusahaanPembiayaaan_Obligasi_inBillionIDR,BroadMoney_M1_inBillionIDR,BroadMoney_Kuasi_inBillionIDR,BroadMoney_SecuritiesNonShares_inBillionIDR,BroadMoney_Deposits_inBillionIDR,BroadMoney_Securities_inBillionIDR,BroadMoney_Liabilities_inBillionIDR,BroadMoney_Shares_inBillionIDR,OSL_Persero_IndustryGeneral_inBillionIDR,OSL_Persero_NonIndustryGeneral_inBillionIDR,OSL_Pemda_IndustryGeneral_inBillionIDR,OSL_Pemda_NonIndustryGeneral_inBillionIDR,OSL_Private_IndustryGeneral_inBillionIDR,OSL_Private_NonIndustryGeneral_inBillionIDR,OSL_Foreign_IndustryGeneral_inBillionIDR,OSL_Foreign_NonIndustryGeneral_inBillionIDR,OSL_Rural_IndustryGeneral_inBillionIDR,OSL_Rural_NonIndustryGeneral_inBillionIDR,Export_GasAndOil_inThousandUSD,Export_NonGasAndOil_inThousandUSD,Import_GasAndOil_inThousandUSD,Import_NonGasAndOil_inThousandUSD,OSL_Persero_IndustryInvestation_inBillionIDR,OSL_Pemda_IndustryInvestation_inBillionIDR,OSL_Private_IndustryInvestation_inBillionIDR,OSL_Foreign_IndustryInvestation_inBillionIDR,OSL_Rural_IndustryInvestation_inBillionIDR,OSL_Persero_IndustryWorkingCapital_inBillionIDR,OSL_Pemda_IndustryWorkingCapital_inBillionIDR,OSL_Private_IndustryWorkingCapital_inBillionIDR,OSL_Foreign_IndustryWorkingCapital_inBillionIDR,OSL_Rural_IndustryWorkingCapital_inBillionIDR,OSL_Persero_AGGREGATEConsumption_inBillionIDR,OSL_Pemda_AGGREGATEConsumption_inBillionIDR,OSL_Private_AGGREGATEConsumption_inBillionIDR,OSL_Foreign_AGGREGATEConsumption_inBillionIDR,OSL_Rural_AGGREGATEConsumption_inBillionIDR,Inflation,OutstandingPrivateDeposit_Rupiah_inBillionIDR,OutstandingPrivateDeposit_Valas_inBillionIDR,OSL_Rupiah_inBillionIDR,OSL_Valas_inBillionIDR,OutstandingDemandDeposit_Rupiah_inBillionIDR,OutstandingDemandDeposit_Valas_inBillionIDR,OutstandingSavingDeposit_Rupiah_inBillionIDR,OutstandingSavingDeposit_Valas_inBillionIDR,OutstandingTimeDeposit_Rupiah_inBillionIDR,OutstandingTimeDeposit_Valas_inBillionIDR,SavingDepositInterestRate_Persero_inPercentage,SavingDepositInterestRate_Pemda_inPercentage,SavingDepositInterestRate_Private_inPercentage,SavingDepositInterestRate_Foreign_inPercentage,SavingDepositInterestRate_General_inPercentage
01/01/2010,6.5,3.25,9365,69562.47,2553.59,2743.6,226.5,64038.78,577665,15169,88248.06,79011.65,339050.41,30709.7,4112.5,4324.7,145283.25,101161.22,15184.04,496526.84,1570059.05,7273.88,-54267.8,-1677.77,-15056.61,-367324.11,358052.77,159357.13,36072.9,81968,409714.69,180589.76,135716.74,31659.45,15474.71,12850.2,2064217.69,7916405.46,1819758,6798598.28,93558.33,13763.18,132934.46,31716.22,1491.09,264494.44,22318.98,276731.72,104000.52,14353.73,159357.14,81958.76,180638.27,31659.46,12480.1,3.72,1602786.24,302590.68,1231678.94,189777.41,289317.91,125045.36,550795.96,43074.43,762672.38,134470.89,2.79,3.89,3.15,3.91,3.08
02/01/2010,6.5,3.25,9335,69730.6,2588.79,2699.23,222.8,64219.78,577303,23203,76399.52,63556.02,334837.31,21807.6,3272,3634.8,148065.18,103422.94,15061.1,490083.79,1568632.08,7765.12,-52035.16,-1600.06,-11575.04,-366842.45,361068.27,162318.49,37241.11,83237.02,417253.37,184037.33,136922.52,32755.89,15848.57,13046.35,2097674.64,8489107.87,1783355,6592549.7,94665.89,13932.92,137562.94,30930.04,1601.16,266402.37,23283.96,279596.14,105992.48,14589.16,162318.49,83261.23,184131.6,32755.88,12704.59,3.81,1592095.55,300837.97,1255136.11,188592.81,282214.32,126392.53,541068.47,39990.85,768812.76,134454.59,2.78,3.72,3.15,3.93,3.06
03/01/2010,6.5,3.25,9115,71823.21,2598.18,2678.19,221.1,66325.74,571649,27544,97680.73,104136,337385.19,40421.7,2345,3418,149233.33,103099.62,16578.01,494460.84,1611373.11,6248.75,-51064.59,-1567.13,-10929.6,-358036.21,374180.49,162092.53,39271.49,83815.68,426791.93,184931.69,137899.51,32428.92,16158.44,13317.23,2186892.61,10415337.15,2209979,8030458.11,93775.28,14318.77,154028.86,30543.78,1615.39,280405.22,24951.63,272692.37,107355.75,14908.07,162092.52,83816.76,185002.39,32428.92,12952.21,3.43,1630256.23,314774.43,1283328.91,187559.02,293930.29,137589.76,540152.06,41453.39,796173.88,135731.28,2.74,3.77,3.18,3.93,3.03
04/01/2010,6.5,3.25,9012,78582.77,2738.42,2658.47,219.5,72966.37,580019,29289,119513.34,110460.51,357507,30173.6,2859,2791.6,152234.88,104449.34,17377.77,494717.69,1615202.72,6103.13,-50302.19,-1347.88,-14035.05,-360686.59,377018.58,167055.02,39606.45,86291.81,437943.79,189347.21,144368.27,30472.12,16544.08,13647.57,2328155.05,9176565.34,2287531,7827379.54,97171.57,14224.32,134486.32,35284.46,1679.49,279846.99,25379.56,303375.62,109083.84,15272.69,167055.02,86294.36,189429.07,30472.13,13239.46,3.91,1633944.71,308626.02,1309835.2,192459.7,288050.5,132910.19,541682.03,44369.36,804212.18,131346.48,2.73,3.75,3.16,4.23,3.02
05/01/2010,6.5,3.25,9180,74587.29,2834.06,2598.36,214.5,68940.37,585666,31939,111215.9,96959.06,320903.6,23340.5,1535,3285.5,157851.73,112095.26,16289.62,514005.04,1622981.36,6247.65,-55795.66,-1246.26,-15351.26,-358235.27,382668.32,173479.27,41348.69,87365.24,455217.52,194019.19,152743.9,30277.04,16898.7,13956.23,2428774.4,9578101.57,2142561,7589966.58,94808.65,14866.37,136946.93,31862.01,1681.49,287859.67,26473.34,318192.22,120881.88,15616.6,173479.27,87374.21,194097.56,30277.04,13556.83,4.16,1668765.45,302808.35,1343377.13,204596.96,303540.86,130873.07,551577.15,43165.49,813647.44,128769.8,2.96,3.92,2.96,3.92,3.05
06/01/2010,6.5,3.25,9083,76321.26,2897.43,2599.79,214.6,70609.44,596741,32413,114902.19,78809.97,341948.6,23638.4,1445,3806.1,163201.05,116355.23,15970.09,545405.37,1680373.99,5364.98,-57862.47,-1273.32,-17035.72,-358548.45,399798.28,178727.18,42535.19,89976.61,487905.13,184820.92,158763.9,30699,17253.67,14237.54,2148845.43,9800643.67,2153487,8406988.26,102648.59,14709.56,166747.51,38544.35,1766.03,297149.7,27931.57,321117.19,120219.55,15870.64,178727.18,89870.65,184861.36,30699,13854.56,5.05,1730250.35,321488.1,1389575.81,215141.6,325574.57,146975.71,571655.75,45150.92,833020.03,129361.48,2.61,3.92,3.01,4.23,2.9
07/01/2010,6.5,3.25,8952,78794.09,2728.44,2681.76,221.4,73162.49,604191,32927,97266.08,76936.4,340920.8,14900.6,1110,5163.9,168579.64,120148,15444.23,539745.86,1672443.26,5399.69,-66570.65,-1254.52,-17972.46,-368484.49,395411.56,184075.55,43556.32,90941.69,494573.38,190051.09,153681.32,31194.67,17626.81,14435.49,2117129.1,10144179.69,2094065,9189314.65,128472.18,14751.16,157110.32,37079.14,1819.94,266937.06,28797.76,337438.89,116602.19,16226.22,184077.86,90949.12,190075.27,31194.68,14016.14,6.22,1711384.48,328886.37,1399748.01,215799.91,315187.89,147181.95,577986.53,47435.63,818210.06,134268.79,2.6,3.91,3,3.96,2.9
08/01/2010,6.5,3.25,9041,81317.21,2898.6,2659.55,219.6,75539.46,620023,36118,99116.06,89637.08,301295.3,33183.2,1430,3454.5,175167.31,130478.03,15335.05,555494.78,1676517.13,4447.54,-70789.45,-1404.66,-17786.72,-379141.21,409958.79,180943.22,47664.39,89388.47,511208.09,195795.59,159134.46,31114.82,18071.15,14700.38,2286131.42,11186944.46,2526357,9218410.07,104733.8,14556.97,169912.71,35071.6,1812.35,305168.52,33098.67,341281.06,124062.87,16635.93,180999.71,89397.19,195809.93,31114.82,14323.22,6.44,1723845.72,328600.15,1432977.12,225002.25,318422.78,138803.09,588095.61,50746.67,817327.32,139050.4,2.6,2.98,3.95,3.94,2.88
09/01/2010,6.5,3.25,8924,86550.64,3068.76,2735.58,225.9,80520.4,619742,36118,121598.4,100612.87,362686.1,17411.2,1510,5699.1,177731.56,133917.38,15547.51,549941.24,1720038.8,4974.52,-73977.35,-1354.5,-19661.86,-394515.68,408372.97,186758.21,45634.13,93326.41,516780.49,198436.73,163813.94,31596.1,18036.07,14795.46,2362080.11,9517061.93,1714604,6859324.47,104967.37,15477.62,167809.78,37498.05,1815.71,303405.62,30186.58,348982.64,126315.86,16581,186758.21,93296.32,198424.79,31596.11,14434.82,5.8,1769363.07,334219.86,1449377.41,228173.07,323205.92,142151.25,607119.84,52081.06,839037.3,139987.54,2.62,3.87,3.05,3.9,2.91
10/01/2010,6.5,3.25,8928,91798.63,3129.79,2766.05,228.4,85674.39,617267,38500,152910.86,122208.82,383268.8,55703.3,3552,5946,180373.78,135863.32,18990.37,555548.88,1747976.25,5320.85,-80392.52,-1344.87,-17425.9,-404776.52,409077.77,190349.23,46315.53,94071.68,520686.16,202965.65,164644.25,31521.13,19050,14090.58,2290964.41,11337152.06,2553793,8636016.35,106582.07,15788.28,170707.98,37845.45,2063.19,302495.72,30525.08,349970.57,126798.82,16986.79,190349.23,94073.85,202973.25,31521.13,14090.58,5.67,1806555.68,332701.38,1459948.71,232823.32,324739.5,137904.92,613007.92,52478.86,868808.26,142317.6,2.92,2.62,3.07,3.97,3.85
