Provinsi,2019,2020,2021,2022,2023
ACEH,71.9,71.99,72.18,72.8,73.4
SUMATERA UTARA,71.74,71.77,72,72.71,73.37
SUMATERA BARAT,72.39,72.38,72.65,73.26,73.75
RIAU,73,72.71,72.94,73.52,74.04
JAMBI,71.26,71.29,71.63,72.14,72.77
SUMATERA SELATAN,70.02,70.01,70.24,70.9,71.62
BENGKULU,71.21,71.4,71.64,72.16,72.78
LAMPUNG,69.57,69.69,69.9,70.45,71.15
KEP. BANGKA BELITUNG,71.3,71.47,71.69,72.24,72.85
KEP. RIAU,75.48,75.59,75.79,76.46,77.11
DKI JAKARTA,80.76,80.77,81.11,81.65,82.46
JAWA BARAT,72.03,72.09,72.45,73.12,73.74
JAWA TENGAH,71.73,71.87,72.16,72.79,73.39
DI YOGYAKARTA,79.99,79.97,80.22,80.64,81.07
JAWA TIMUR,71.5,71.71,72.14,72.75,73.38
BANTEN,72.44,72.45,72.72,73.32,73.87
BALI,75.38,75.5,75.69,76.44,77.1
NUSA TENGGARA BARAT,68.14,68.25,68.65,69.46,70.2
NUSA TENGGARA TIMUR,65.23,65.19,65.28,65.9,66.68
KALIMANTAN BARAT,67.65,67.66,67.9,68.63,69.41
KALIMANTAN TENGAH,70.91,71.05,71.25,71.63,72.2
KALIMANTAN SELATAN,70.72,70.91,71.28,71.84,72.5
KALIMANTAN TIMUR,76.61,76.24,76.88,77.44,78.2
KALIMANTAN UTARA,71.15,70.63,71.19,71.83,72.49
SULAWESI UTARA,72.99,72.93,73.3,73.81,74.36
SULAWESI TENGAH,69.5,69.55,69.79,70.28,70.95
SULAWESI SELATAN,71.66,71.93,72.24,72.82,73.46
SULAWESI TENGGARA,71.2,71.45,71.66,72.23,72.79
GORONTALO,68.49,68.68,69,69.81,70.45
SULAWESI BARAT,65.73,66.11,66.36,66.92,67.55
MALUKU,69.45,69.49,69.71,70.22,70.94
MALUKU UTARA,68.7,68.49,68.76,69.47,70.21
PAPUA BARAT,64.7,65.09,65.26,65.89,66.66
PAPUA,60.84,60.44,60.62,61.39,62.25
INDONESIA,71.92,71.94,72.29,,
