Provinsi,2019,2020,2021,2022,2023
ACEH,3606.9,8241.1,7904.7,4424.2,8883.3
SUMATERA UTARA,19749,18189.5,18484.5,22789.2,21574
SUMATERA BARAT,3026.6,3106.2,4183.7,2559.8,4488.2
RIAU,26292.2,34117.8,24997.8,43062,48243.3
JAMBI,4437.4,3511.7,6204.2,8882.7,8939
SUMATERA SELATAN,16921.1,15824.5,16266.9,23526,25602.4
BENGKULU,5458.1,5399.2,4923.5,6957.3,7218.7
LAMPUNG,2428.9,7120.5,10513.2,5809.2,7625.8
KEP. BANGKA BELITUNG,2915.2,1863.8,3677.4,6309,7961.4
KEP. RIAU,5656.4,14249,9768.7,4817.4,8856.6
DKI JAKARTA,62094.8,42954.7,54708.2,89223.6,95202.1
JAWA BARAT,49284.2,51400.5,59948.5,80808.3,88012.9
JAWA TENGAH,18654.7,30606.1,31311.2,24992.3,32987.2
DI YOGYAKARTA,6298.8,2683.4,2761.3,2275,5015.5
JAWA TIMUR,45452.7,55660.6,52552.2,65355.9,74937.4
BANTEN,20708.4,31145.7,25989.5,31283.9,37971.7
BALI,7393.2,5432.7,6355.2,6002.1,6950.8
NUSA TENGGARA BARAT,3519,6582.4,9090.5,11031.5,30766.2
NUSA TENGGARA TIMUR,3752.6,3028.5,3742.6,3459.3,3407.2
KALIMANTAN BARAT,7699.1,9256.5,10773.4,9382.9,14892
KALIMANTAN TENGAH,8591.9,3710,6359.8,6556.8,8779.5
KALIMANTAN SELATAN,10061,4286.3,11003.9,12310.4,14909.4
KALIMANTAN TIMUR,21952,25934,30297.4,39595.6,52171.7
KALIMANTAN UTARA,4400.9,2235.2,3792.5,7526.4,8199.1
SULAWESI UTARA,8259.6,3005.6,3480,5042.1,7698.2
SULAWESI TENGAH,4438.8,5261.3,3012.3,3758.6,4772.5
SULAWESI SELATAN,5672.6,9142,12075.4,7528,11468.3
SULAWESI TENGGARA,3827.1,2865.7,4334.2,7596,7734.6
GORONTALO,844.4,683.6,1004.3,1113.5,3960.1
SULAWESI BARAT,1187.2,252.9,395.3,1313.3,2011.1
MALUKU,283.2,474.8,2939.7,611,1904.5
MALUKU UTARA,682.7,662.1,2665.3,3414.9,6901
PAPUA BARAT,380.2,1925.4,635.6,2139.1,1261.9
PAPUA BARAT DAYA,-,-,-,-,1708.7
PAPUA,567.7,2722.2,910.8,1311.8,1174.1
PAPUA SELATAN,-,-,-,-,152.5
PAPUA TENGAH,-,-,-,-,458.8
PAPUA PEGUNUNGAN,-,-,-,-,121.8
