Provinsi,Tahun,PDRB
ACEH,2019,30879.06
SUMATERA UTARA,2019,54620.4
SUMATERA BARAT,2019,44885.51
RIAU,2019,111227.0
JAMBI,2019,60828.86
SUMATERA SELATAN,2019,53359.1
BENGKULU,2019,36565.29
LAMPUNG,2019,42172.32
KEP. BANGKA BELITUNG,2019,52232.8
KEP. RIAU,2019,119394.7
DKI JAKARTA,2019,268052.3
JAWA BARAT,2019,43309.19
JAWA TENGAH,2019,39388.15
DI YOGYAKARTA,2019,36459.73
JAWA TIMUR,2019,59015.17
BANTEN,2019,52013.99
BALI,2019,57755.96
NUSA TENGGARA BARAT,2019,25716.11
NUSA TENGGARA TIMUR,2019,19630.02
KALIMANTAN BARAT,2019,42045.41
KALIMANTAN TENGAH,2019,56625.38
KALIMANTAN SELATAN,2019,42823.56
KALIMANTAN TIMUR,2019,180259.1
KALIMANTAN UTARA,2019,138751.0
SULAWESI UTARA,2019,52173.02
SULAWESI TENGAH,2019,61056.03
SULAWESI SELATAN,2019,57182.14
SULAWESI TENGGARA,2019,48514.15
GORONTALO,2019,34976.65
SULAWESI BARAT,2019,34111.83
MALUKU,2019,26097.04
MALUKU UTARA,2019,32124.96
PAPUA BARAT,2019,87542.37
PAPUA BARAT DAYA,2019,
PAPUA,2019,56618.95
PAPUA SELATAN,2019,
PAPUA TENGAH,2019,
PAPUA PEGUNUNGAN,2019,
ACEH,2020,31633.38
SUMATERA UTARA,2020,54979.04
SUMATERA BARAT,2020,43825.66
RIAU,2020,114166.9
JAMBI,2020,57957.73
SUMATERA SELATAN,2020,53842.74
BENGKULU,2020,36552.5
LAMPUNG,2020,39290.33
KEP. BANGKA BELITUNG,2020,52023.4
KEP. RIAU,2020,123464.8
DKI JAKARTA,2020,262615.2
JAWA BARAT,2020,43236.51
JAWA TENGAH,2020,36964.78
DI YOGYAKARTA,2020,37693.64
JAWA TIMUR,2020,56640.82
BANTEN,2020,52729.4
BALI,2020,52015.45
NUSA TENGGARA BARAT,2020,25183.56
NUSA TENGGARA TIMUR,2020,20056.99
KALIMANTAN BARAT,2020,39622.24
KALIMANTAN TENGAH,2020,57145.08
KALIMANTAN SELATAN,2020,44100.79
KALIMANTAN TIMUR,2020,161798.9
KALIMANTAN UTARA,2020,143533.3
SULAWESI UTARA,2020,50521.13
SULAWESI TENGAH,2020,66306.27
SULAWESI SELATAN,2020,55675.03
SULAWESI TENGGARA,2020,49718.15
GORONTALO,2020,35693.26
SULAWESI BARAT,2020,32836.75
MALUKU,2020,25094.36
MALUKU UTARA,2020,33069.32
PAPUA BARAT,2020,73932.6
PAPUA BARAT DAYA,2020,
PAPUA,2020,46416.36
PAPUA SELATAN,2020,
PAPUA TENGAH,2020,
PAPUA PEGUNUNGAN,2020,
ACEH,2021,34673.56
SUMATERA UTARA,2021,57441.93
SUMATERA BARAT,2021,45218.16
RIAU,2021,129740.7
JAMBI,2021,64770.93
SUMATERA SELATAN,2021,57744.67
BENGKULU,2021,39167.13
LAMPUNG,2021,40806.71
KEP. BANGKA BELITUNG,2021,58406.07
KEP. RIAU,2021,131883.8
DKI JAKARTA,2021,274659.6
JAWA BARAT,2021,45234.18
JAWA TENGAH,2021,38568.08
DI YOGYAKARTA,2021,40516.0
JAWA TIMUR,2021,59988.44
BANTEN,2021,55383.29
BALI,2021,50758.32
NUSA TENGGARA BARAT,2021,26009.17
NUSA TENGGARA TIMUR,2021,20554.99
KALIMANTAN BARAT,2021,42252.66
KALIMANTAN TENGAH,2021,62833.77
KALIMANTAN SELATAN,2021,48065.95
KALIMANTAN TIMUR,2021,183157.5
KALIMANTAN UTARA,2021,157091.7
SULAWESI UTARA,2021,54034.12
SULAWESI TENGAH,2021,82016.81
SULAWESI SELATAN,2021,59502.64
SULAWESI TENGGARA,2021,52436.02
GORONTALO,2021,37086.76
SULAWESI BARAT,2021,35195.14
MALUKU,2021,26153.05
MALUKU UTARA,2021,40381.06
PAPUA BARAT,2021,74021.65
PAPUA BARAT DAYA,2021,
PAPUA,2021,54050.61
PAPUA SELATAN,2021,
PAPUA TENGAH,2021,
PAPUA PEGUNUNGAN,2021,
ACEH,2022,38900.18
SUMATERA UTARA,2022,62922.26
SUMATERA BARAT,2022,50264.02
RIAU,2022,151258.97
JAMBI,2022,76164.32
SUMATERA SELATAN,2022,68237.45
BENGKULU,2022,43756.98
LAMPUNG,2022,44983.67
KEP. BANGKA BELITUNG,2022,63871.65
KEP. RIAU,2022,145579.01
DKI JAKARTA,2022,299674.52
JAWA BARAT,2022,49136.9
JAWA TENGAH,2022,41946.05
DI YOGYAKARTA,2022,44637.15
JAWA TIMUR,2022,66246.91
BANTEN,2022,61413.76
BALI,2022,56091.82
NUSA TENGGARA BARAT,2022,28670.72
NUSA TENGGARA TIMUR,2022,21656.83
KALIMANTAN BARAT,2022,46092.06
KALIMANTAN TENGAH,2022,72988.52
KALIMANTAN SELATAN,2022,60244.41
KALIMANTAN TIMUR,2022,238916.99
KALIMANTAN UTARA,2022,192588.32
SULAWESI UTARA,2022,59020.57
SULAWESI TENGAH,2022,106068.47
SULAWESI SELATAN,2022,65350.37
SULAWESI TENGGARA,2022,58714.73
GORONTALO,2022,39693.74
SULAWESI BARAT,2022,37068.1
MALUKU,2022,28525.64
MALUKU UTARA,2022,53776.27
PAPUA BARAT,2022,78132.75
PAPUA BARAT DAYA,2022,
PAPUA,2022,59383.62
PAPUA SELATAN,2022,
PAPUA TENGAH,2022,
PAPUA PEGUNUNGAN,2022,
ACEH,2023,41424.37
SUMATERA UTARA,2023,68305.71
SUMATERA BARAT,2023,54326.76
RIAU,2023,154522.28
JAMBI,2023,79835.78
SUMATERA SELATAN,2023,71950.37
BENGKULU,2023,46285.28
LAMPUNG,2023,48194.22
KEP. BANGKA BELITUNG,2023,67885.26
KEP. RIAU,2023,154178.97
DKI JAKARTA,2023,322615.13
JAWA BARAT,2023,52651.45
JAWA TENGAH,2023,45198.51
DI YOGYAKARTA,2023,48358.22
JAWA TIMUR,2023,71121.93
BANTEN,2023,66147.39
BALI,2023,62293.23
NUSA TENGGARA BARAT,2023,29925.6
NUSA TENGGARA TIMUR,2023,23078.03
KALIMANTAN BARAT,2023,48808.92
KALIMANTAN TENGAH,2023,75293.97
KALIMANTAN SELATAN,2023,63779.06
KALIMANTAN TIMUR,2023,215761.42
KALIMANTAN UTARA,2023,201748.78
SULAWESI UTARA,2023,64130.96
SULAWESI TENGAH,2023,112461.06
SULAWESI SELATAN,2023,69702.4
SULAWESI TENGGARA,2023,64088.4
GORONTALO,2023,42346.82
SULAWESI BARAT,2023,39533.27
MALUKU,2023,30456.11
MALUKU UTARA,2023,63676.84
PAPUA BARAT,2023,108101.5
PAPUA BARAT DAYA,2023,58450.13
PAPUA,2023,78061.39
PAPUA SELATAN,2023,58680.24
PAPUA TENGAH,2023,103503.9
PAPUA PEGUNUNGAN,2023,16869.97
