Provinsi,2019,2020,2021,2022,2023
ACEH,4292685,4600377.72,4661678.28,4917624.46,5339208
SUMATERA UTARA,4498122,4711151.41,4544866.18,4881078.94,5452951
SUMATERA BARAT,4955589,5227120.65,5244390.45,5640747.23,6037493
RIAU,5043397,5379777.19,5244072.34,5774366.46,6572426
JAMBI,4180221,4443405.79,4478944.91,4972120.28,5836743
SUMATERA SELATAN,3920072,4174263.5,4282675.68,4626365.08,5083281
BENGKULU,4310946,4409226.67,4245980.14,4689885.28,5302230
LAMPUNG,3597252,3793327.11,3877266.46,4166400.59,4582242
KEP. BANGKA BELITUNG,5712066,5694152.41,5534188.02,6231469.07,6819768
KEP. RIAU,6513006,6370404.74,6636732.59,6626465.84,7848561
DKI JAKARTA,7672204,7954511.86,8128863.56,9156272.74,10665373
JAWA BARAT,4855997,5041747.53,5042941.48,5409408.73,6163600
JAWA TENGAH,3745592,3959031.29,3975611.9,4386872.65,4572603
DI YOGYAKARTA,4623821,4887552.67,4966238.97,5692577.92,6469830
JAWA TIMUR,3946554,4023024.75,4116665.42,4500675.63,5015394
BANTEN,5919610,6274392.68,5883642.54,6336590.28,7188547
BALI,5399116,5801002.89,5684950.69,6054777,6942290
NUSA TENGGARA BARAT,3857745,3998253.9,4243257.73,4309553.61,4617819
NUSA TENGGARA TIMUR,3657091,3821772.11,3751413.73,4220805.4,4605962
KALIMANTAN BARAT,4692667,4785986.91,4692712.61,5121370.09,5582538
KALIMANTAN TENGAH,4966123,5025975.12,5048915.97,5322470.58,5779015
KALIMANTAN SELATAN,4641118,5011479.1,5043710.48,5317314.9,5777021
KALIMANTAN TIMUR,6313722,6662121.52,6423866.49,6962304.81,7730635
KALIMANTAN UTARA,6117428,6467737.13,6118321.47,6554135.66,7282464
SULAWESI UTARA,4568913,4703185.17,4552948.91,4728586.44,5062041
SULAWESI TENGAH,4213497,4372982.33,4280614.78,4592027.21,5122761
SULAWESI SELATAN,4405108,4523972.45,4440875.3,4783129.77,5368029
SULAWESI TENGGARA,4495511,4516011.97,4419680.2,4794937.03,5209446
GORONTALO,4129116,4365954.35,4518515.39,4777728.88,5273676
SULAWESI BARAT,3699964,3989704.76,3745547.29,4235030.38,4600653
MALUKU,4915262,5257574.1,4933086.06,5406138.91,5830358
MALUKU UTARA,4984985,5071940.66,4870930.99,5085367.72,6108317
PAPUA BARAT,6178298,6140468.67,6060732.17,6327027.44,6816752
PAPUA,5747472,5783601.89,6040474.78,6975568.21,6328085
