Provinsi,2019,2020,2021,2022,2023
Aceh,"2,916,810.00","3,165,031.00","3,165,031.00","3,166,460.00","3,413,666.00"
Sumatera Utara,"2,303,403.43","2,499,423.06","2,499,423.06","2,522,609.94","2,710,493.93"
Sumatera Barat,"2,289,220.00","2,484,041.00","2,484,041.00","2,512,539.00","2,742,476.00"
Riau,"2,662,025.63","2,888,564.01","2,888,564.01","2,938,564.01","3,191,662.53"
Jambi,"2,423,889.16","2,630,162.13","2,630,162.13","2,698,940.87","2,943,033.08"
Sumatera Selatan,"2,804,453.00","3,043,111.00","3,144,446.00","3,144,446.00","3,404,177.24"
Bengkulu,"2,040,407.00","2,213,604.00","2,215,000.00","2,238,094.31","2,418,280.00"
Lampung,"2,241,269.53","2,432,001.57","2,432,001.57","2,440,486.18","2,633,284.59"
Kep. Bangka Belitung,"2,976,705.97","3,230,023.66","3,230,023.66","3,264,884.00","3,498,479.00"
Kep. Riau,"2,769,754.00","3,005,460.00","3,005,460.00","3,050,172.00","3,279,194.00"
DKI Jakarta,"3,940,973.10","4,276,349.91","4,416,186.55","4,641,854.00","4,901,798.00"
Jawa Barat,"1,668,372.83","1,810,351.36","1,810,351.36","1,841,487.31","1,986,670.17"
Jawa Tengah,"1,605,396.02","1,742,015.22","1,798,979.12","1,812,935.43","1,958,169.69"
DI Yogyakarta,"1,570,922.73","1,704,608.25","1,765,000.00","1,840,915.53","1,981,782.39"
Jawa Timur,"1,630,059.05","1,768,777.08","1,868,777.08","1,891,567.12","2,040,244.30"
Banten,"2,267,990.55","2,460,996.54","2,460,996.54","2,501,203.11","2,661,280.11"
Bali,"2,297,968.70","2,494,000.00","2,494,000.00","2,516,971.00","2,713,672.28"
Nusa Tenggara Barat,"2,012,610.00","2,183,883.00","2,183,883.00","2,207,212.00","2,371,407.00"
Nusa Tenggara Timur,"1,795,000.00","1,950,000.00","1,950,000.00","1,975,000.00","2,123,994.00"
Kalimantan Barat,"2,211,500.00","2,399,698.65","2,399,698.65","2,434,328.19","2,608,601.75"
Kalimantan Tengah,"2,663,435.50","2,903,144.70","2,903,144.70","2,922,516.00","3,181,013.00"
Kalimantan Selatan,"2,651,781.95","2,877,448.59","2,877,448.59","2,906,473.32","3,149,977.65"
Kalimantan Timur,"2,747,561.26","2,981,378.72","2,981,378.72","3,014,497.22","3,201,396.04"
Kalimantan Utara,"2,765,463.00","3,000,804.00","3,000,804.00","3,016,738.00","3,251,702.67"
Sulawesi Utara,"3,051,076.00","3,310,723.00","3,310,723.00","3,310,723.00","3,485,000.00"
Sulawesi Tengah,"2,123,040.00","2,303,711.00","2,303,711.00","2,390,739.00","2,599,546.00"
Sulawesi Selatan,"2,860,382.00","3,103,800.00","3,165,876.00","3,165,876.00","3,385,145.00"
Sulawesi Tenggara,"2,351,870.36","2,552,014.52","2,552,014.52","2,576,016.96","2,758,984.54"
Gorontalo,"2,384,020.00","2,788,826.00","2,788,826.00","2,800,580.00","2,989,350.00"
Sulawesi Barat,"2,381,000.00","2,678,863.10","2,678,863.10","2,678,863.10","2,871,794.82"
Maluku,"2,400,664.00","2,604,961.00","2,604,961.00","2,619,312.83","2,812,827.66"
Maluku Utara,"2,508,091.00","2,721,530.00","2,721,530.00","2,862,231.00","2,976,720.00"
Papua Barat,"2,934,500.00","3,134,600.00","3,134,600.00","3,200,000.00","3,282,000.00"
Papua,"3,240,900.00","3,516,700.00","3,516,700.00","3,561,932.00","3,864,696.00"
