Provinsi,Tahun,PDRB,UMP,IPM,Investasi,KRT
Aceh,2019,30879.06,"2,916,810.00",71.9,3606.9,4292685.0
Sumatera Utara,2019,54620.4,"2,303,403.43",71.74,19749,4498122.0
Sumatera Barat,2019,44885.51,"2,289,220.00",72.39,3026.6,4955589.0
Riau,2019,111227.0,"2,662,025.63",73.0,26292.2,5043397.0
Jambi,2019,60828.86,"2,423,889.16",71.26,4437.4,4180221.0
Sumatera Selatan,2019,53359.1,"2,804,453.00",70.02,16921.1,3920072.0
Bengkulu,2019,36565.29,"2,040,407.00",71.21,5458.1,4310946.0
Lampung,2019,42172.32,"2,241,269.53",69.57,2428.9,3597252.0
Kep. Bangka Belitung,2019,52232.8,"2,976,705.97",71.3,2915.2,5712066.0
Kep. Riau,2019,119394.7,"2,769,754.00",75.48,5656.4,6513006.0
Dki Jakarta,2019,268052.3,"3,940,973.10",80.76,62094.8,7672204.0
Jawa Barat,2019,43309.19,"1,668,372.83",72.03,49284.2,4855997.0
Jawa Tengah,2019,39388.15,"1,605,396.02",71.73,18654.7,3745592.0
Di Yogyakarta,2019,36459.73,"1,570,922.73",79.99,6298.8,4623821.0
Jawa Timur,2019,59015.17,"1,630,059.05",71.5,45452.7,3946554.0
Banten,2019,52013.99,"2,267,990.55",72.44,20708.4,5919610.0
Bali,2019,57755.96,"2,297,968.70",75.38,7393.2,5399116.0
Nusa Tenggara Barat,2019,25716.11,"2,012,610.00",68.14,3519,3857745.0
Nusa Tenggara Timur,2019,19630.02,"1,795,000.00",65.23,3752.6,3657091.0
Kalimantan Barat,2019,42045.41,"2,211,500.00",67.65,7699.1,4692667.0
Kalimantan Tengah,2019,56625.38,"2,663,435.50",70.91,8591.9,4966123.0
Kalimantan Selatan,2019,42823.56,"2,651,781.95",70.72,10061,4641118.0
Kalimantan Timur,2019,180259.1,"2,747,561.26",76.61,21952,6313722.0
Kalimantan Utara,2019,138751.0,"2,765,463.00",71.15,4400.9,6117428.0
